Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","7151","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","739","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","150","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","203","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","6","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","0","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","3250","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","1530","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","373","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","11608","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","2","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","107","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2517","Millet et produits","2017","2017","Milliers de tonnes","14","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","139","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2520","C?r?ales, Autres","2017","2017","Milliers de tonnes","51","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilit? int?rieure","2511","Bl? et produits","2017","2017","Milliers de tonnes","564","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilit? int?rieure","2807","Riz et produits","2017","2017","Milliers de tonnes","36","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilit? int?rieure","2513","Orge et produits","2017","2017","Milliers de tonnes","20","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilit? int?rieure","2514","Ma?s et produits","2017","2017","Milliers de tonnes","453","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilit? int?rieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","3","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilit? int?rieure","2516","Avoine","2017","2017","Milliers de tonnes","35","S","Donn?es standardis?es"
